License #,Key_For_Missing_Ethnicity
414980,079013
429803,079350
412495,086054
413926,088920
414777,354876
415243,360307
419759,411970
422350,412490
415032,412922
414298,413372
430084,413677
430097,413805
422012,413846
413357,414425
84130,414495
414496,414500
423977,414539
72437,415203
414256,417469
413702,420477
424057,420666
424257,420666
421650,420785
421759,420785
415534,420793
414893,420801
368015,421069
76458,421804
420800,421804
402107,422044
413347,422146
414902,422202
414240,422218
413940,422294
422507,422329
421568,422332
422992,422431
422992,422431
420638,422504
429761,422612
422572,422655
415662,422944
413806,422954
423431,422954
417471,423390
421417,423402
421432,423402
421083,423542
415041,423571
414446,423634
413310,423784
413503,423829
417511,423993
415206,424190
415037,424311
413980,424751
414417,425068
414011,425273
414101,425362
415425,425493
413819,425539
414780,426199
426896,426199
414250,426284
413848,426563
414740,426888
413897,427533
421490,427769
412066,428107
422827,428263
419640,428846
421350,429000
414108,429212
423779,429212
415325,429502
413550,429699
413700,413805
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,